Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Paneer Jungali","Paneer Jungali",,35,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes
"Crispy Corn Salt & Pepper","Crispy Corn Salt & Pepper",,36,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
"Veg Kothe","Veg Kothe",,37,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
"Veg Lollypop","Veg Lollypop",,38,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
"Veg Spring Roll","Veg Spring Roll",,39,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes
"Chilli Potato","Chilli Potato",,40,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
"Crispy Honey Chilli Potato","Crispy Honey Chilli Potato",,41,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
"Mushroom Chilli","Mushroom Chilli",,42,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Garlic","Paneer Garlic",,43,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes
"Chana Chilli","Chana Chilli",,44,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
