Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
THE CITY VIEW,,,,,,,,
,,,,,,,,
BEVERAGE ,,,,,,MOCKTAIL & SHAKES,,
,,,,,,,,
16,DAHI KE SHOLE ,,319,,,,,
17,VEG KEBEB PALTTER,,499,,,,,
,,,,,,,,
,MAINCOURSE VEG,,,,,,,
,,,,,,,,
1,AAJ KI SABZI ,,279,,16,SOYA CHAP MASALA,,329
2,MIX VEG,,279,,17,BABY CORN MASALA,,339
3,PALAK CORN,,279,,18,MUSHROOM HANDI ,,329
4,PINDI CHOLE,,279,,19,PANEER BUTTER MASALA,,329
5,HEENG DHANIYA KE ALOO,,279,,20,KADHAI PANEER,,329
6,JEERA ALOO,,269,,21,PANEER PUNJABI,,329
7,KASHMIRI DUM ALOO,,289,,22,PANEER KOLHAPURI,,329
8,STUFF TOMATO,,259,,23,PANEER TIKKA MASALA,,339
9,STUFF CAPSICUM,,259,,24,SAHI PANEER ,,339
10,MUSHROOM MASALA,,319,,25,MUSHROOM PANEER ,,329
11,MATAR MUSHROOM MASASLA,,319,,26,PANEER DO PYAZA,,329
12,MALAI KOFTA,,329,,27,PANEER TOOFANI,,329
13,KAJU CURRY,,339,,28,PALAK PANEER,,329
14,KAJU MASALA,,339,,29,PANEER PASANDA,,329
15,METHI MATAR MALAI,,319,,30,PANEER HANDI,,329
,,,,,,,,
,DAL,,,,,,,
,,,,,,,,
1,DAL FRY,,249,,,,,
2,DAL TADKA,,249,,,,,
3,DAL PACHRANGI,,279,,,,,
4,DAL MAKHANI,,289,,,,,
5,DAL MUGLAI,,289,,,,,
6,PUNJABI DAL TADKA,,289,,,,,
,,,,,,,,
,,,,,,,,
,MAINCOURSE NON VEG,,,,,,,
,,,,,,,,
,,SINGLE,FAMILY,,,,SINGLE,FAMILY
1,CHICKEN BAGHELI,299,449,,12,MUTTON BAGHELI,369,569
2,CHICKEN HANDI,299,449,,13,MUTTON MASALA,379,579
3,CHICKEN CURRY,299,449,,14,MUTTON HANDI,379,579
4,CHICHEN DO PYAZA,299,449,,15,DHAWA MUTTON,379,579
5,BUTTER CHICKEN,329,499,,16,RAHRA MUTTON,379,579
6,KADHAI CHICKEN ,329,499,,17,MUTTON KADHAI,379,579
7,CHICKEN MASALA,329,499,,18,BHUNA MUTTON,379,579
8,CHICKEN TIKKA MASALA,329,499,,19,FISH CURRY,299,449
9,CHICKIEN METHI MALAI,329,499,,20,FISH MASALA,329,499
10,RAHRA CHICKEN,329,499,,21,EGG CURRY,,199
11,BHUNA CHICKEN,329,499,,22,EGG MASALA,,229
,,,,,,,,
,,,,,,,,
