Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Chicken 65","Chicken 65",,38,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Jungali","Paneer Jungali",,39,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Drums Of Heaven","Drums Of Heaven",,40,,,,,"Chinese Non Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Crispy Corn Salt & Pepper","Crispy Corn Salt & Pepper",,41,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chilli Garlic Chicken","Chilli Garlic Chicken",,42,,,,,"Chinese Non Veg Starter",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Kothe","Veg Kothe",,43,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Chilli Dry","Egg Chilli Dry",,44,,,,,"Chinese Non Veg Starter",,299,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Chilli Gravy","Egg Chilli Gravy",,45,,,,,"Chinese Non Veg Starter",,299,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Lollypop","Veg Lollypop",,46,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Crispy Chicken Salt And Pepper","Crispy Chicken Salt And Pepper",,47,,,,,"Chinese Non Veg Starter",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Spring Roll","Veg Spring Roll",,48,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Crispy Honey Chicken","Crispy Honey Chicken",,49,,,,,"Chinese Non Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chilli Potato","Chilli Potato",,50,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Spring Roll","Chicken Spring Roll",,51,,,,,"Chinese Non Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Crispy Honey Chilli Potato","Crispy Honey Chilli Potato",,52,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chilli Fish Dry","Chilli Fish Dry",,53,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chilli Fish Gravy","Chilli Fish Gravy",,54,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mushroom Chilli","Mushroom Chilli",,55,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Fried Rice","Chicken Fried Rice",,56,,,,,"Chinese Non Veg Starter",,289,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Garlic","Paneer Garlic",,57,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Schezwan Fried Rice","Chicken Schezwan Fried Rice",,58,,,,,"Chinese Non Veg Starter",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chana Chilli","Chana Chilli",,59,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Singaporean Chicken Fried Rice","Singaporean Chicken Fried Rice",,60,,,,,"Chinese Non Veg Starter",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Kali Mirch","Paneer Kali Mirch",,61,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Manchurian Dry","Chicken Manchurian Dry",,62,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
