Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Paneer Punjabi","Paneer Punjabi",,148,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kashmiri Dum Aloo","Kashmiri Dum Aloo",,149,,,,,"Main Course Veg",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Kolhapuri","Paneer Kolhapuri",,150,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Stuff Tomato","Stuff Tomato",,151,,,,,"Main Course Veg",,259,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Tikka Masala","Paneer Tikka Masala",,152,,,,,"Tandoor Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Stuff Capsicum","Stuff Capsicum",,153,,,,,"Main Course Veg",,259,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Sahi Paneer","Sahi Paneer",,154,,,,,"Tandoor Veg Starter",,339,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mushroom Masala","Mushroom Masala",,155,,,,,"Main Course Veg",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mushroom Paneer","Mushroom Paneer",,156,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Matar Mushroom Masasla","Matar Mushroom Masasla",,157,,,,,"Main Course Veg",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Do Pyaza","Paneer Do Pyaza",,158,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Malai Kofta","Malai Kofta",,159,,,,,"Main Course Veg",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Toofani","Paneer Toofani",,160,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kaju Curry","Kaju Curry",,161,,,,,"Main Course Veg",,339,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Palak Paneer","Palak Paneer",,162,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kaju Masala","Kaju Masala",,163,,,,,"Main Course Veg",,339,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Pasanda","Paneer Pasanda",,164,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Methi Matar Malai","Methi Matar Malai",,165,,,,,"Main Course Veg",,319,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Handi","Paneer Handi",,166,,,,,"Tandoor Veg Starter",,329,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Dal Fry","Dal Fry",,167,,,,,"Dal",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Dal Tadka","Dal Tadka",,168,,,,,"Dal",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Dal Pachrangi","Dal Pachrangi",,169,,,,,"Dal",,279,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Dal Makhani","Dal Makhani",,170,,,,,"Dal",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Dal Muglai","Dal Muglai",,171,,,,,"Dal",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Punjabi Dal Tadka","Punjabi Dal Tadka",,172,,,,,"Dal",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Bagheli","Chicken Bagheli",,173,,,,,"Main Course Non Veg",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mutton Bagheli","Mutton Bagheli",,174,,,,,"Tandoor Veg Starter",,369,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Handi","Chicken Handi",,175,,,,,"Main Course Non Veg",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mutton Masala","Mutton Masala",,176,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Curry","Chicken Curry",,177,,,,,"Main Course Non Veg",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mutton Handi","Mutton Handi",,178,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chichen Do Pyaza","Chichen Do Pyaza",,179,,,,,"Main Course Non Veg",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Dhawa Mutton","Dhawa Mutton",,180,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Butter Chicken","Butter Chicken",,181,,,,,"Main Course Non Veg",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Rahra Mutton","Rahra Mutton",,182,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kadhai Chicken","Kadhai Chicken",,183,,,,,"Main Course Non Veg",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mutton Kadhai","Mutton Kadhai",,184,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Masala","Chicken Masala",,185,,,,,"Main Course Non Veg",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Bhuna Mutton","Bhuna Mutton",,186,,,,,"Tandoor Veg Starter",,379,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Tikka Masala","Chicken Tikka Masala",,187,,,,,"Main Course Non Veg",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fish Curry","Fish Curry",,188,,,,,"Tandoor Veg Starter",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chickien Methi Malai","Chickien Methi Malai",,189,,,,,"Main Course Non Veg",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fish Masala","Fish Masala",,190,,,,,"Tandoor Veg Starter",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Rahra Chicken","Rahra Chicken",,191,,,,,"Main Course Non Veg",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Curry","Egg Curry",,192,,,,,"Tandoor Veg Starter",,199,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Bhuna Chicken","Bhuna Chicken",,193,,,,,"Main Course Non Veg",,329,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Masala","Egg Masala",,194,,,,,"Tandoor Veg Starter",,229,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Tandoori Roti","Tandoori Roti",,195,,,,,"Breads",,30,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Ajwaini/ Pudina Paratha","Ajwaini/ Pudina Paratha",,196,,,,,"Tandoor Veg Starter",,55,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Tandori Roti Butter","Tandori Roti Butter",,197,,,,,"Breads",,35,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Aloo Paratha","Aloo Paratha",,198,,,,,"Tandoor Veg Starter",,89,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Hari Mirch/ Lal Mirch Ki Roti","Hari Mirch/ Lal Mirch Ki Roti",,199,,,,,"Breads",,35,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Aloo-pyaaz Paratha","Aloo-pyaaz Paratha",,200,,,,,"Tandoor Veg Starter",,110,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Missi Roti","Missi Roti",,201,,,,,"Breads",,35,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Gobhi Paratha","Gobhi Paratha",,202,,,,,"Tandoor Veg Starter",,110,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Naan","Naan",,203,,,,,"Breads",,40,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Paneer Paratha","Paneer Paratha",,204,,,,,"Tandoor Veg Starter",,110,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Butter Naan","Butter Naan",,205,,,,,"Breads",,50,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Stuffed Kulcha","Stuffed Kulcha",,206,,,,,"Tandoor Veg Starter",,110,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Garlic Naan","Garlic Naan",,207,,,,,"Breads",,60,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kashmiri Naan","Kashmiri Naan",,208,,,,,"Tandoor Veg Starter",,80,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Lacchaa Paratha","Lacchaa Paratha",,209,,,,,"Breads",,60,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Bread Basket","Bread Basket",,210,,,,,"Tandoor Veg Starter",,210,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Plain Rice","Plain Rice",,211,,,,,"Khushbu & Basmati",,139,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Biriyani","Veg Biriyani",,212,,,,,"Tandoor Veg Starter",,299,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Jeera Rice","Jeera Rice",,213,,,,,"Khushbu & Basmati",,159,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Biriyani","Egg Biriyani",,214,,,,,"Tandoor Veg Starter",,299,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Peas Pulao","Peas Pulao",,215,,,,,"Khushbu & Basmati",,169,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Biriyani","Chicken Biriyani",,216,,,,,"Tandoor Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Pulao","Veg Pulao",,217,,,,,"Khushbu & Basmati",,169,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mutton Biriyani","Mutton Biriyani",,218,,,,,"Tandoor Veg Starter",,449,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Curd Rice","Curd Rice",,219,,,,,"Khushbu & Basmati",,169,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fish Tikka Biriyani","Fish Tikka Biriyani",,220,,,,,"Tandoor Veg Starter",,399,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kashmiri Pulao","Kashmiri Pulao",,221,,,,,"Khushbu & Basmati",,189,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Tikka Biriyani","Chicken Tikka Biriyani",,222,,,,,"Tandoor Veg Starter",,399,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Plain Curd","Plain Curd",,223,,,,,"Raita",,89,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mix Veg Raita","Mix Veg Raita",,224,,,,,"Raita",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Boondi Raita","Boondi Raita",,225,,,,,"Raita",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fruit Raita","Fruit Raita",,226,,,,,"Raita",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Pineapple Raita","Pineapple Raita",,227,,,,,"Raita",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Papad Roasted","Papad Roasted",,228,,,,,"Accompaniments",,29,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Papad Fried","Papad Fried",,229,,,,,"Accompaniments",,29,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Masala Papad","Masala Papad",,230,,,,,"Accompaniments",,69,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Masala Peanut","Masala Peanut",,231,,,,,"Accompaniments",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Onion Salad","Onion Salad",,232,,,,,"Accompaniments",,89,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Green Salad","Green Salad",,233,,,,,"Accompaniments",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Russian Salad","Russian Salad",,234,,,,,"Accompaniments",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kimchi Salad","Kimchi Salad",,235,,,,,"Accompaniments",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kuchumber Salad","Kuchumber Salad",,236,,,,,"Accompaniments",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Sprout Salad","Sprout Salad",,237,,,,,"Accompaniments",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Choice Of Ice Cream (2 Scoops)","Choice Of Ice Cream (2 Scoops)",,238,,,,,"Desserts",,95,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Matka Kulfi","Matka Kulfi",,239,,,,,"Desserts",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Gulab Jamun","Gulab Jamun",,240,,,,,"Desserts",,95,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Rasmalai","Rasmalai",,241,,,,,"Desserts",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Shahi Thandi Kheer","Shahi Thandi Kheer",,242,,,,,"Desserts",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Brownie With Ice Cream","Brownie With Ice Cream",,243,,,,,"Desserts",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Gajar Halwa ( Seasonal)","Gajar Halwa ( Seasonal)",,244,,,,,"Desserts",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Mutton Bagheli","Mutton Bagheli",,1001,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,369,,0,Family,569,,0
"Mutton Masala","Mutton Masala",,1003,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Mutton Handi","Mutton Handi",,1005,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Dhawa Mutton","Dhawa Mutton",,1007,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Rahra Mutton","Rahra Mutton",,1009,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Mutton Kadhai","Mutton Kadhai",,1011,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Bhuna Mutton","Bhuna Mutton",,1013,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Fish Curry","Fish Curry",,1015,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,299,,0,Family,449,,0
"Fish Masala","Fish Masala",,1017,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Egg Curry","Egg Curry",,1019,,,,,"Main Course Non Veg",,0,egg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,,,0,Family,199,,0
"Egg Masala","Egg Masala",,1021,,,,,"Main Course Non Veg",,0,egg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,,,0,Family,229,,0
